Name,TP Tier,PRO Tier,Notes,Check other sheets for more (bottom left),,,,,,,,,,,,,,,,,,
kz_exemplum_fix,6,7,"Big surf up (climb to -450), LAJ 1st ladder from side, pixelwalk ladders (mouse angle: 41 44 + crouch), surf > bhop, Hard 90° LJ/drop JB turn > ladder off surf",,,,,,,,,,,,,,,,,,,
kz_exoteric,2,3,"Easy map that needs routing, corner turns, little to no block skips",,,,,,,,,,,,,,,,,,,
kz_experiment,5,5,"Drop 256 JB (cperf or lowjump > drop JB makes this easier), drop 235 JB, 252 JB, other bhop sections, skip into water near after surf",,,,,,,,,,,,,,,,,,,
kz_exps_cursedjourney,6,8,"VERY lengthy map (~1-2 hrs), vesq tech ladder, ~243 block sideways LJ, very hard drop (perf > JB), left pre LJs, hard crouch perf skip drop or lowjump > CJ, lots of climbing",,,,,,,,,,,,,,,,,,,
kz_ext_bblocks,2,2,"Perf grind, almost no block skips, long walk section, easy LJs",,,,,,,,,,,,,,,,,,,
kz_fabrik,4,4,"Hard pace map, headbangers, pixelsurf in 2nd room, hold jump for fast water section, large headbanger skip (get good pre: 75+), some medium corner turns, spikes at end",,,,,,,,,,,,,,,,,,,
kz_farm_v2,6,7,"Hard bhop map with many walks or perfs, hard sheep section, 1 headbanger near a ladder that can be done with lowjump > crouch or jump off ladder > cperf",,,,,,,,,,,,,,,,,,,
kz_fas2map,2,3,"Short easy LJs map with some CJ skips, wallstrafe or strafe drop, hard block skips on pillars",,,,,,,,,,,,,,,,,,,
kz_fastcombomap,5,6,"Low pre 240 block (can be pre kept from last block), three 256 JBs",,,,,,,,,,,,,,,,,,,
kz_fastmap,5,6,"240 sideways block (use HSW tech), bhop perf part hard jumps ",,,,,,,,,,,,,,,,,,,
kz_fatigue_v2  ,4,5,"Easy bhop blocks, some require walks/double walks, hard turn that needs lineup",,,,,,,,,,,,,,,,,,,
kz_fikablock,2,2,"Short map with tiny CJ block skips, two medium low pre strafe jumps",,kz_correguachin_reisido,3,Tiny surf flicks into LAJs,kz_correguachin_reisido,3,Tiny surf flicks into LAJs,kz_correguachin_reisido,3,Tiny surf flicks into LAJs,kz_correguachin_reisido,3,Tiny surf flicks into LAJs,kz_correguachin_reisido,3,Tiny surf flicks into LAJs,kz_correguachin_reisido,3,Tiny surf flicks into LAJs
kz_final_ascension,4,5,"Wallstrafe or LJ drop at start, MBH tech on triple hop, room skip with a pixelsurf, three 240 blocks, walk bhops at end",,,,,,,,,,,,,,,,,,,
kz_flying_rabbits,2,3,"Short map, long distance block skips (good strafes needed)",,,,,,,,,,,,,,,,,,,
kz_forchi,7,7,"Bhop/Walk based map, forced perfs/JBs on bhop blocks, 260 block, drop JB into bhop section (CJ > perf > JB), low pre 240 block at the end ",,,,,,,,,,,,,,,,,,,
kz_forestrace_go,1,1,"Easy climb map, medium length skip on an invisible platform, CJ skips",,,,,,,,,,,,,,,,,,,
kz_freezing_ridge,2,4,"Medium length map pace map with easy and some medium jumps, some CJ skips but most times saves are micro, easy & medium surfs some walls are sticky or protrude",,,,,,,,,,,,,,,,,,,
kz_frenzy ,3,3,"Micro map with medium LJs, drop into the central square to access end button at the end",,,,,,,,,,,,,,,,,,,
kz_frozen_go,1,2,"Short map that has tons of CJ skips, route the stairs near the end",,,,,,,,,,,,,,,,,,,
kz_fury,3,3,"Drop LJ at start, mostly easy LJs, one hard LJ (232 block + 4 height, HSW is a good option), headbangers, odd route after teleporter",,,,,,,,,,,,,,,,,,,
kz_futureblock,4,6,"Some block skips, odd corners, some weird CJs, perf/JB at last block in the air",,,,,,,,,,,,,,,,,,,
kz_galaxy_go2,2,4,"Medium length map with routes, tons of block skips, booster blocks (skip on the 2nd, strafe right), booster to timer at the end for a small timesave",,,,,,,,,,,,,,,,,,,
kz_generic,2,3,"Short map that has vnl route, boosters (walkable + prekeep), easy/medium consecutive corners, surf at the end",,,,,,,,,,,,,,,,,,,
kz_genesis,3,4,"Block map with a lot of micro for timesaves, decent strafes needed for certain time saves",,,,,,,,,,,,,,,,,,,
kz_gfy_blueberry,7,8,"Hard jumps , HSW LJ drop or JB, hard left pre LJ (get 235 pre), 264 block off bhop block, 270° JB or crouchbug prekeep, 360° JB, hard JB off small bhop block, corner, box tech ",,,,,,,,,,,,,,,,,,,
kz_gfy_limit,6,6,"Drop JB into a bhop section, hard walk/perf, JB around corner, last part is a drop JB into a bhop or cperf > perf",,,,,,,,,,,,,,,,,,,
kz_ggurk,3,4,"Skip the 290 block with CJ skip to latern, CJ block skips, one bhop block after surf (perf or rehop), 240 block at the end",,,,,,,,,,,,,,,,,,,
kz_ghat,1,2,"Map with a lot of surf skips, very short full run (w/o surf skips)",,,,,,,,,,,,,,,,,,,
kz_ghs,2,4,"Easy non-linear block map, easy drop LJs and drop downs, you can wallstrafe some drops towards the end, one easy to fail corner at the end, CJ block skips everywhere",,,,,,,,,,,,,,,,,,,
kz_giantbean,1,3,"Bean map with some sticky walls, huge skip",,,,,,,,,,,,,,,,,,,
kz_gigablock_go,1,2,"Medium length micro map with heavy with 2 major routes, go straight then right from timer for optimal path, CJ and block skips, spikes",,,,,,,,,,,,,,,,,,,
kz_gkd_v2,3,3,"241 block, wallstrafe 240 block after short stairs, CJ skip on tower near end, ledgegrabbing",,,,,,,,,,,,,,,,,,,
kz_glassesospa_v1,3,4,"A lot of big skips, easy surfs, headbangers, glass/ice blocks",,,,,,,,,,,,,,,,,,,
kz_glide,4,5,"Everything is surf ups, touch five colored pads, can use prev TP",,,,,,,,,,,,,,,,,,,
kz_glow ,5,5,"250 block with weird pre (180 or S pre JB) , long delay bhops, medium offset LJ",,,,,,,,,,,,,,,,,,,
kz_goldenroad,4,6,"Straight forward map with a lot of spike sections, skip near end (saves 22~ seconds), pro run save on the 250 block at the end",,,,,,,,,,,,,,,,,,,
kz_gonbe  ,8,9,"272 block off a bhop, hard corner LJ, 180° JB off first orange section, hard 180° JB towards end (can be wallstrafed with this lineup), hard CJ at the end",,,,,,,,,,,,,,,,,,,
kz_goodluck_p,8,9,"Lowjump drop, bhop sections, extremely hard bhop section that requires 2 JBs, one is a ~260 block, 2 hard CJ around corners",,,,,,,,,,,,,,,,,,,
kz_green,5,6,"235 block mid bhop (drop JB or 180° bhop/JB), hard drop around corners ",,,,,,,,,,,,,,,,,,,
kz_greyorgray  ,4,6,"Strafy drops (or BH/JB/WS), climb, 1 drop that can be done with a pre keep > WS, resets are terrible on PRO",,,,,,,,,,,,,,,,,,,
kz_haki_v2,2,2,"Long map that has a ton of block skips and ledgegrabs, spikes, brown textures is water, ice blocks",,,,,,,,,,,,,,,,,,,
kz_halicarnassus_fs,4,6,"Drop perf at the start (drop JB is very easy to time here), high LJ, forced crouch perf, one hard LJ/JB",,,,,,,,,,,,,,,,,,,
kz_hate,3,4,"Upwards LAJ (use a Ladder Boost), spike jumps, ladder skip (saves 5~ seconds)",,,,,,,,,,,,,,,,,,,
kz_hb_3kliksphilip,1,1,"Block map with drop transitions, all easy jumps, a lot of CJ and block skips, some headbanger parts",,,,,,,,,,,,,,,,,,,
kz_hb_anduu,4,5,"Medium length map with easy JBs, one surf up and some headbangers",,,,,,,,,,,,,,,,,,,
kz_hb_bacon,6,6,"LINEUP // Pixel climb up the side of the surf then LJ, the rest is easy climbing",,,,,,,,,,,,,,,,,,,
kz_hb_fyksen,5,7,"Long and confusing map, watch !replay or !greplay if available, one hard LJ/JB drop with weird pre",,,,,,,,,,,,,,,,,,,
kz_hb_lrs,8,9,"VERY hard drop LJ , surf > perf, hardest corner, hard left pre LJ or 360° JB, drop JBs, 180° JBs some hard jumps",,,,,,,,,,,,,,,,,,,
kz_hb_smieszneznaczki ,5,8,"JB and LJ based map, hard/medium drops, 180 JBs, weird corners",,,,,,,,,,,,,,,,,,,
kz_headbongo,8,9,"Weird JB at the start, multiple hard headbongers, drop JB cancel is patched and requires a cperf with very good drop strafes or wallstrafe, very hard bhop section",,,,,,,,,,,,,,,,,,,
kz_hellinashop,4,5,"Easy jumps, headbanger room, climb surf (~40 sec), block skip for the timer (aim a little below the button and spam +use)",,,,,,,,,,,,,,,,,,,
kz_highland,7,7,"Easy/medium LJs, very hard JB > surf (need a lot of height and speed) full run",,,,,,,,,,,,,,,,,,,
kz_hillside,2,2,"Short climb map with all easy jumps, possible JB drop skip, some CJ block skips, most time saves are noducks",,,,,,,,,,,,,,,,,,,
kz_holdmyhand,3,5,"Short map with sideways 240 block, get good speed on surfs, water section, skips at end",,,,,,,,,,,,,,,,,,,
kz_holmu1,4,5,"Medium LJs and easy surfs, walks on bhops are super long, stand on top of 1st surf for the double surf, 247.4 block near end",,,,,,,,,,,,,,,,,,,
kz_holyspace,4,6,"Three 256 JB blocks, one has pixelsurf, bhop blocks to walk",,,,,,,,,,,,,,,,,,,
kz_huber,2,3,"225 LJ into headbanger, can stand on door handle after ladder, CJ skip from back of the truck, pixel skip where the front and rear of the 2nd truck meet",,,,,,,,,,,,,,,,,,,
kz_hypothermia ,3,3,"Jump from the metal part to start the map and get on the block, lots of small drops, water jumps, headbanger at the end",,,,,,,,,,,,,,,,,,,
kz_hyroblock,1,2,"Classic style block map, CJ skips all over the place, micro heavy map",,,,,,,,,,,,,,,,,,,
kz_ickkck,6,7,"Hard bhop section (perf all or walk), two 256 JBs, very hard last bhop section (perf 1 and 2 > walk the rest), 240 block at the end full run ",,,,,,,,,,,,,,,,,,,
kz_igneous,2,2,"You run most of the map, perf > surf the drop at the start, ladder skip (don't drop down and LAJ), easy double surf",,,,,,,,,,,,,,,,,,,
kz_illusion_gfix,5,7,"Confusing map, pixelsurfs on the two 240s, fake maze (look at the ceiling for route), crouched 256 JB, crouched wallstrafe bhop headbanger to skip corner, lowjump corners",,,,,,,,,,,,,,,,,,,
kz_intercourse!,4,4,"Medium length map with easy LJs and some skips, medium-ish prekeep towards end of map",,,,,,,,,,,,,,,,,,,
kz_itz_transcendent  ,8,8,"Extremely hard surf, JBs mid bhop, max height ladder, 256 JBs",,,,,,,,,,,,,,,,,,,
kz_j2s_cupblock_go_fix2,2,4,"Stage climb map, a lot of block skips, very hard JB skip that requires heavy strafing",,,,,,,,,,,,,,,,,,,
kz_j2s_tetris_go,3,4,"Block skips everywhere, some medium LJs, run killer headbanger on yellow blocks near end (hold CJ or get really good edge with a CJ/lowjump), moving block at end (pause timer)",,,,,,,,,,,,,,,,,,,
kz_j2s_westbl0ck,1,2,"Map with crouched tunnels and ladders, tons of skips, staged climb map",,,,,,,,,,,,,,,,,,,
kz_janpu_final_fix,4,5,"Tons of block skips, go left on the wall after the spikes, invisible blocks, hard LJ at end or lowjump > perf (easiest way) or JB",,,,,,,,,,,,,,,,,,,
kz_johndoe,3,5,"Surf at start, two forced perfs (one in first bhop section and after the ladder), end you can walk",,,,,,,,,,,,,,,,,,,
kz_jump_n_run,4,6,"Basic LAJ, ~242 block LJ, 248 block that can be wallstrafed, LAJ at the end full run ",,,,,,,,,,,,,,,,,,,
kz_kays,2,3,"Short and easy micro map, some drops require basic strafes",,,,,,,,,,,,,,,,,,,
kz_kiwifactory,2,3,"Micro map with a lot of CJ skips and ledgegrabs, drop skip near end, medium corner at the end",,,,,,,,,,,,,,,,,,,
kz_kiwimirific ,2,3,"Short micro map with very easy jumps, hard corner skip near the start",,,,,,,,,,,,,,,,,,,
kz_kiwionerous,4,5,"Short map with medium corners, a few CJ skips, LJ drop, one hard corner",,,,,,,,,,,,,,,,,,,
kz_kiwitown,4,6,"Longer map with an easy route, micro skips, 240 block near start, high LJ (246-248~), 240 block then 248, rest of the map is routing",,,,,,,,,,,,,,,,,,,
kz_kogamaostry ,3,3,"Short micro map, 240 block near the start, timer is the big clock at the back of the lake",,,,,,,,,,,,,,,,,,,
kz_kohze_sucks,2,3,"Short map with micro and boxtech, most time saves are noducks",,,,,,,,,,,,,,,,,,,
kz_kzra_bars,6,8,"First room is a generic climbing section, huge ladder skip (~1-2min time save), second and last room has many hard LJs (right and left pre) and some corners",,,,,,,,,,,,,,,,,,,
kz_kzra_coast,4,5,"Water is a full reset trigger, tricky headbanger bhops, surf trigger skip, bhop sections, headbangers and medium LJs, medium LJ at the end (prekeep)",,,,,,,,,,,,,,,,,,,
kz_kzra_fustcaves,4,4,"Long map with easy jumps, lots of skips, noducks, and CJs",,,,,,,,,,,,,,,,,,,
kz_kzra_greycliff,3,4,"Medium length map with odd routing at times, little CJ skips and noduck parts, long bars at end",,,,,,,,,,,,,,,,,,,
kz_kzra_hohum,7,8,"VERY lengthy (1-3hrs), all bhop and climb map with places you can stand on (trees, graffitis). Very hard bhop sections that either require perfs/JBs/walks",,,,,,,,,,,,,,,,,,,
kz_kzra_morath,6,7,"Single bhop section that requires a perf JB at start > triple perf, afterwards is a drop JB or walk (whole bhop can be cheesed), second bhop section has a force perf bhop sections ",,,,,,,,,,,,,,,,,,,
kz_kzra_oddland,1,2,"Short routing map with a lot of easy skips, end section is very weird to route",,,,,,,,,,,,,,,,,,,
kz_kzra_rockloy,6,8,"Long map with confusing sections, hard LJs and one drop LJ, one JB around a spike in the grey section, ~247 blocks you can LJ or 180° JB, one 180° JB at red section",,,,,,,,,,,,,,,,,,,
kz_kzra_rocky,4,6,"Long map with easy jumps, some CJs and little no duck skips, surf chains",,,,,,,,,,,,,,,,,,,
kz_kzra_shortclimb_v2,1,1,"Short map with noducks, strafe around the forced crouch section, angled wall ledgegrabs, easy corner at the end that's hard prekeep into",,,,,,,,,,,,,,,,,,,
kz_kzra_skaxis,8,9,"Very strafe heavy JB at end of map, everything else is easy",,,,,,,,,,,,,,,,,,,
kz_kzra_stonebhop,3,4,"Easy bhop map with two far walks (or perfs), huge LJ skip towards the end (~240 block) ",,,,,,,,,,,,,,,,,,,
kz_kzra_stoneishbhop,7,8,"Bhop map with JBs, perfs and walks mid bhop, JB around corner, double JB around corner or hard 180° JB, drop JBs",,,,,,,,,,,,,,,,,,,
kz_kzra_suhu,1,1,"Short easy map with light micro, skippable 240 block, no bhop",,,,,,,,,,,,,,,,,,,
kz_kzra_undercastle,3,5,"Very long map with easy jumps, very easy to get lost, annoying route at end",,,,,,,,,,,,,,,,,,,
kz_kzra_voovblock,5,6,"Bhop section, surf flick, low pre sideways jumps",,,,,,,,,,,,,,,,,,,
kz_kzra_whitesquare,4,6,"Low pre 256 JB (very weird pre), two annoying surfs",,,,,,,,,,,,,,,,,,,
kz_kzro_2boxes1room,2,3,"Short map with lots of walking, route on white bar sections, surfs at end, CJs",,,,,,,,,,,,,,,,,,,
kz_kzro_basalt,2,3,"Medium length map with very easy jumps, lots of skips and noducks, headbanger at end",,,,,,,,,,,,,,,,,,,
kz_kzro_beknowater,2,2,"Short map with surf ups (crouch on some of them before), routing map with skips and noducks, ledgegrabs",,,,,,,,,,,,,,,,,,,
kz_kzro_brickstgrass_v2,2,3,"Short map with easy jumps, weird routing, easy to get confused",,,,,,,,,,,,,,,,,,,
kz_kzro_bronea,3,5,"Long map with surfs and some semi-difficult LJs, routing is annoying",,,,,,,,,,,,,,,,,,,
kz_kzro_cavehole,6,7,"Repetitive surf map, 90° surfs, CJ surfs, combo chain surfs, for two of them you have to climb for a very long time (Ferrari surf on longest surf up), hard surf (lowjump > surf is better) ",,,,,,,,,,,,,,,,,,,
kz_kzro_cavernste_v2,4,6,"Odd routing, headbangers everywhere, annoying corners, weird duck fall to wallstrafe drop",,,,,,,,,,,,,,,,,,,
kz_kzro_chairs,4,6,"Extremely hard map to route on VNL, difficulty spikes after the halfway point, some easy surfs",,,,,,,,,,,,,,,,,,,
kz_kzro_cryscosrun,4,5,"Longer map with very easy jumps, easy to get lost so make sure you route, CJs, headbangers, breakable blocks",,,,,,,,,,,,,,,,,,,
kz_kzro_darkhole,3,4,"Medium length map with easy jumps, small skips and noducks, easy to get lost, headbanger at start, CJ skips",,,,,,,,,,,,,,,,,,,
kz_kzro_excitedbhop,6,7,"Long map with forced perfs, you can stand on a small ledge below the bhop, JBs, LJ skips most bhop blocks, weird saves and spots you can stand on",,,,,,,,,,,,,,,,,,,
kz_kzro_fastcliff,2,2,"Easy map with small skips, no duck and CJ skips, headbangers",,,,,,,,,,,,,,,,,,,
kz_kzro_gohome,3,4,"Long pace map that makes you feel like you're going backwards, very easy to fall off big metal pipes in the big room",,,,,,,,,,,,,,,,,,,
kz_kzro_greybrickbhop,3,3,"Bhop map with walks on all bhops, pixelsurf skip at start, a couple of block skips, headbanger section, large skip before climb section behind boxes",,,,,,,,,,,,,,,,,,,
kz_kzro_jaashs,3,5,"Medium length map with easy jumps, CJs, small noduck skips, headbangers",,,,,,,,,,,,,,,,,,,
kz_kzro_justgrab,3,3,"Ledgegrab based map, all easy jumps, one 240 block",,,,,,,,,,,,,,,,,,,
kz_kzro_mountainbhop,6,8,"Hard bhop walks, JBs mid bhop, forced perfs, most can be walked",,,,,,,,,,,,,,,,,,,
kz_kzro_mountainhaya,4,5,"Long map with easy jumps, route can get confusing at times, very little skips, water section",,,,,,,,,,,,,,,,,,,
kz_kzro_mountainroad,8,9,"HIGHEST KZT TIER (5) MAP POSSIBLE VNL. 256 - 275 JB cancel blocks, several other JBs, setting rate 20480 in console can help with cancelling the antibhop trigger",,,,,,,,,,,,,,,,,,,
kz_kzro_mountainsein,2,4,"Long routiing map with easy jumps, very few skips, troll routes, hidden timer at the end",,,,,,,,,,,,,,,,,,,
kz_kzro_mountainsnow,3,6,"Long map, one medium sideways LJ, climb up surf part, ladders",,,,,,,,,,,,,,,,,,,
kz_kzro_sekiseibhop,5,6,"Forced perfs, walk most bhops, force crouch perf section (2 or 3), double bhop to the left at last hard jump",,,,,,,,,,,,,,,,,,,
kz_kzro_shima_v2,3,4,"Very easy map with lots of no ducks and CJ skips, annoying route towards end, water section, easy to get lost",,,,,,,,,,,,,,,,,,,
kz_kzro_slidesmear,6,9,"LENGTHY map (~1-2 hrs), a lot of surf climbs (pixels on top of some), some really hard surfs, skip first blue room (go under the fence)",,,,,,,,,,,,,,,,,,,
kz_kzro_smallcanyon,3,3,"Very short map with small skips, one medium jump that should be prekeeped with a good corner turn after, surfs at end for time save",,,,,,,,,,,,,,,,,,,
kz_kzro_speedcavescape,3,4,"Long routing map with a lot of skips (block, CJ and noduck), some headbanger sections, easy but annoying headbanger corner, LJ through tree (235 block)",,,,,,,,,,,,,,,,,,,
kz_kzro_sunmountainset,4,6,"Easy map with headbangers and routing, one medium/hard corner, tons of block skips, hard jumps and skips",,,,,,,,,,,,,,,,,,,
kz_kzro_syotiles,1,1,"Very short map with lots of skips, annoying climb sections towards end, CJ and noduck skips, route well for WR",,,,,,,,,,,,,,,,,,,
kz_kzro_tamlair,3,3,"All easy jumps, can stand on sand in one of the trigger sections, two 240s, pixelsurf on last jump",,,,,,,,,,,,,,,,,,,
kz_kzro_wallblocks,3,3,"Congested block map, very hard to route, most jumps are easy, some medium corners",,,,,,,,,,,,,,,,,,,
kz_kzro_whiterock,4,5,"Medium map, three surfs (one of them fall slowly), CJs and noduck parts, 240 block at end, surf up",,,,,,,,,,,,,,,,,,,
kz_kzro_yaruna,2,2,"Short map with very easy jumps, lots of noduck skips, one CJ towards end, annoying slopes",,,,,,,,,,,,,,,,,,,
kz_kzse_aztectemple ,4,5,"Bhop > JB high block at start (or perf from prev block), surf climb room, 256 JB block at end",,,,,,,,,,,,,,,,,,,
kz_lair,6,8,"Hard LJs, medium and hard JBs, difficult 180° corner, no bind LJ, low pre drops (hard LJ or 360° bhop/JB)",,,,,,,,,,,,,,,,,,,
kz_lavablock_global,4,7,"Nix Trick (LAH off the side of the ladder while standing on invisible pixel) on ladders (not all), LJ to the 3rd ladder (skip the 2nd), buttons at the end",,,,,,,,,,,,,,,,,,,
kz_layercake,2,2,"Easy map with little skips and lots of noducking, some easy/medium corners",,,,,,,,,,,,,,,,,,,
kz_lego,3,4,"All bhop block are walkable, ducked LAJ on ladder, green bhop triggers are faster, odd red corner that is easier than it looks",,,,,,,,,,,,,,,,,,,
kz_lego_two_redux_v3,4,6,"Bhops you can walk on for a while, pixel walk on top of ladder, 248 block near end",,,,,,,,,,,,,,,,,,,
kz_legoland,6,7,"Medium/hard drops/LJs, vesq tech side of ladder, 256 JB, 250 forced wallstrafe, easy bhop sections, hard drop LJ near the end (LJ, 360° JB, two JBs), end skip",,,,,,,,,,,,,,,,,,,
kz_leto_v2 ,2,3,"Small map with easy climb, climb the side of the ladder, some easy/medium LJs",,,,,,,,,,,,,,,,,,,
kz_littlerock_v2,2,4,"Old school standard mountain climb, interiors are extremely dark, sticky walls",,,,,,,,,,,,,,,,,,,
kz_lmn,1,2,"Short micro map, surf up skip, easy drop skip",,,,,,,,,,,,,,,,,,,
kz_loftroofs,6,7,"A lot of prekeeps LJs, medium drops, medium/hard corners, drop JB or LJ with good strafes from door, hard JB or LJ to high block, offset quad surf (possible to combo or use Ferrari surf)",,,,,,,,,,,,,,,,,,,
kz_lookout,2,4,"Standard climb map with some medium LJs and skips, ladders are standable ",,,,,,,,,,,,,,,,,,,
kz_lost_marketplace_gfix  ,5,6,"Pixel walk on ladder clip , LAJ from the side of ladders (lineup), fast climb > WS, pixel walk ladders",,,,,,,,,,,,,,,,,,,
kz_lovesick  ,5,5,"Medium ladderglides, 248 block, 248 wallstrafe block, 260 block, hard drop onto a ladder, very slow bhops, conveyor belts (run and jump late at the last conveyor)",,,,,,,,,,,,,,,,,,,
kz_lume,7,9,"LAJ > WS (needs a pixelsurf, 1st / 2nd way), BH off 1x2u pixel walk, very hard LAJ (use danvari), 270 or 360 JB, multiple high block JBs",,,,,,,,,,,,,,,,,,,
kz_luonto,2,3,"Skip at start from crates next to the middle barn, JB skip at end, block skips",,,,,,,,,,,,,,,,,,,
kz_lust,4,6,"Headbangers, hard surf drop (perf > surf is easiest), high LAJ",,,,,,,,,,,,,,,,,,,
kz_mac,3,4,"A lot of block skips, no hard jumps but the half cylinder has annoying clipping, prekeep or perf the 2nd spike",,,,,,,,,,,,,,,,,,,
kz_machinery,2,3,"Water bounces, pixelwalk on surf outside of the vent (speed cancel), medium micro, hard-ish ladder",,,,,,,,,,,,,,,,,,,
kz_magus,4,5,"Wallstrafe/pixelsurf on the left side of the 240 block, pixelwalk on the ladder, lowjump > pixelsurf on signs (ALL), two forced perf sections ",,,,,,,,,,,,,,,,,,,
kz_man_everest_go_fix,3,5,"Long map with a lot of block skips (some strafe heavy), some headbangers, a lot of sticky walls",,,,,,,,,,,,,,,,,,,
kz_matilda_np,2,3,"Easy map with some medium LJ skips, lots of block skips, CJ skips",,,,,,,,,,,,,,,,,,,
kz_maya,8,8,"JB around corner, crazy RNG bhop section with JBs/perfs right after, displacement, RNG JB > drop section, very RNG last bhop section. Pixel walks (GMC discord)  ",,,,,,,,,,,,,,,,,,,
kz_megabhop_v2,2,3,"Single block skips, bhop triggers are broken and don't work, ledgegrab on boxes, perf grind",,,,,,,,,,,,,,,,,,,
kz_memento,1,2,"Routing pace map with a lot of skips, some prekeeps are difficult to no stop",,,,,,,,,,,,,,,,,,,
kz_metalrun_global,3,5,"Tight corner in the first room, medium headbanger corner (lowjump makes this easier), walk into booster at full speed and hold jump for water then hold duck for landing",,,,,,,,,,,,,,,,,,,
kz_micropenis,1,3,"Short map with heavy micro, a couple of jumps throw off flow, a lot of stamina control needed for fast times",,,,,,,,,,,,,,,,,,,
kz_mike_v4,3,4,"Short map with many skips, routing needed, perf grind, wallstrafe at end",,,,,,,,,,,,,,,,,,,
kz_minimalism,2,3,"Short map with lots of noduck skips, medium corner turns, ledges stick out a bit",,,,,,,,,,,,,,,,,,,
kz_minimountain_f,2,3,"Routing map, no perf grind, ledgegrabbing/noducks, sticky walls, headbangers",,,,,,,,,,,,,,,,,,,
kz_module,7,8,"Touch 4 colours and go back in the middle, x2 240 blocks mid bhop, corners, ladder glide, JBs mid bhop",,,,,,,,,,,,,,,,,,,
kz_moonlight  ,7,8,"A lot of easy jumps, some JBs and prekeeps, VERY hard surf  (harder method: landing angle matters, possible without perf), one medium corner",,,,,,,,,,,,,,,,,,,
kz_moorerutan,4,5,"Prekeep most blocks, no perf grind, bhop plekz or JB long drop",,,,,,,,,,,,,,,,,,,
kz_moorish,2,2,"One medium corner, standable ladders and surfs, easy jumps, rope ladders at the end",,,,,,,,,,,,,,,,,,,
kz_morebricks_msq,3,4,"Routing needed, some annoying turn jumps, watch roof headbanger, noduck most",,,,,,,,,,,,,,,,,,,
kz_motivated,7,7,"Very hard 180° JB or 360° JB), fake 280 block (~266, land on the sign), bhop > drop JB, forced perf, perf at end or JB, JB on the bhop section, prekeep in brown room (245+ pre) full run ",,,,,,,,,,,,,,,,,,,
kz_msp_comatose,3,5,"Longer map with 240s, ladders, noduck a lot, a few CJ skips",,,,,,,,,,,,,,,,,,,
kz_mz,1,1,"Shortest map in game, can not jump, ""timer tech"" at end (pause timer and shake mouse while spamming +use) full run",,,,,,,,,,,,,,,,,,,
kz_nassau ,3,4,"Surf near the start, many medium drops, no duck most blocks",,,,,,,,,,,,,,,,,,,
kz_nature_remaster,2,3,"Medium length map with easy jumps, single block skips, noduck most",,,,,,,,,,,,,,,,,,,
kz_natureblock_scte,2,3,"OG map with tons of noducks and micro timesaves, short map",,,,,,,,,,,,,,,,,,,
kz_nb_final,3,5,"Surfs, ladders, backwards ladder climb, easy LJs, on last surf climb to top then ride the top and crouch at end",,,,,,,,,,,,,,,,,,,
kz_neon_portal,8,9,Exremely RNG sections,,,,,,,,,,,,,,,,,,,
kz_nightfall,7,8,"Hard bhop sections with JBs, one hard corner, 180° JB/perf to JB at the end // pixel walk on hardest bhop section (4106.00) ",,,,,,,,,,,,,,,,,,,
kz_nightmare_v2,5,7,"Medium jumps on large and small pipes, red = dead, headbanger section in parking garage, RNG perf bhop section at the end ",,,,,,,,,,,,,,,,,,,
kz_nuclear,3,4,"Three long surf ups (skip the first for a free WR), medium LJs, ice blocks, water strafing",,,,,,,,,,,,,,,,,,,
kz_obsidian,2,4,"Very long map with super easy jumps, most are CJs, the big drop is clipped (a skip is only possible on KZT)",,,,,,,,,,,,,,,,,,,
kz_oldstuff ,7,8,"Five 240 blocks (one is a forced JB because of a spike), very hard and frustrating surf (try to get the most height on both surfs)",,,,,,,,,,,,,,,,,,,
kz_olympus,3,5,"Weird glitchy map with odd skips, textures glitch, pixelwalks, boosters old route, current route",,,,,,,,,,,,,,,,,,,
kz_ominous2,4,5,"240 block, far LJ, 248 block that you can lowjump > pixelsurf like in kz_magus (only on the left side though)",,,,,,,,,,,,,,,,,,,
kz_opus,8,8,"Very hard headbanger JB off a surf pixelwalk, few LJ blocks that can be JB'd",,,,,,,,,,,,,,,,,,,
kz_otakuroom,3,6,"Very long climbing map, medium LJs/wallstrafe, bhop section at the end, pro run resets are very bad",,,,,,,,,,,,,,,,,,,
kz_overgrowth,4,5,"240 blocks, some difficult corner turns, a little strafe heavy jumps, noduck some, little skips",,,,,,,,,,,,,,,,,,,
kz_owtetad,2,3,"Short map with a lot of CJ skips and light micro, Skip the surf up",,,,,,,,,,,,,,,,,,,
kz_paintball_tv_fix,3,4,"Lots of skips, stand on top of ladder quick flick out to land, you can skip most of end",,,,,,,,,,,,,,,,,,,
kz_paradise,5,6,"Two JBs, double perf or JB bhop block, forced perf section, x2 HSW 240 blocks",,,,,,,,,,,,,,,,,,,
kz_peak_global,3,5,"Long map with easy jumps that's hard to route, headbanger room annoying for pro (hold duck and wallstrafe), hard unused skip (saves 10s)",,,,,,,,,,,,,,,,,,,
kz_perfunctory,4,6,"Long surf climbs (1st duck at -1572, 2nd duck at -1376 if you can't surf it), wheelchair skip, easy jumps, noduck, minor skips, ledgegrabbing, 227 block prekeep full run ",,,,,,,,,,,,,,,,,,,
kz_phamous,1,1,"Pace map with many noducks skips, some strafe heavy block skips",,,,,,,,,,,,,,,,,,,
